pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
109.719166,-68.262483,180.0,bottom,R93,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1K,smt
113.4025,-122.707107,0.0,top,R94,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4k7,smt
113.4025,-119.207107,0.0,top,R95,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4k7,smt
113.4025,-115.707107,0.0,top,R96,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4k7,smt
132.2,-109.6,-90.0,bottom,T3,,SOIC-8 International Rectifier,SO8,IRF7105TR,smt
151.6,-109.3,180.0,bottom,T4,,SOIC-8 International Rectifier,SO8,IRF7105TR,smt
140.5,-80.5,-90.0,bottom,U1,,,QFN20_4x4MC_MCH-L,MCP2515-E/ML,smt
158.2,-76.1,90.0,top,U18,,,SOT-223-3_TabPin2,AMS1117-3.3,smt
143.7,-106.7,0.0,bottom,U19,,,LGA-16_4X4X1P1_STM-L,A3G4250D,smt
102.62255,-119.2975,0.0,bottom,U2,,,SOIC8_D_TEX-L,TMCS1101A3BQDRQ1,smt
167.905,-75.52255,-90.0,top,U20,,,SOIC8_D_TEX-L,TMCS1101A3BQDRQ1,smt
140.0,-72.5,90.0,bottom,U22,,SOIC-8 Texas Instruments,SOIC127P599X175-8N,SN65HVD230DR,smt
158.174999,-98.1,180.0,top,U23,,,RGW0020A,ADS1257IRGWT,smt
168.965,-96.9375,90.0,top,U24,,SOIC-8 Texas Instruments,SOIC127P599X175-8N,REF5025AID,smt
110.1,-58.6,-90.0,top,U25,,,SOIC20_HNW,HMC1002-TR,smt
112.13,-75.084283,90.0,top,U26,,,NS14,LM324NSR,smt
124.146666,-79.440383,90.0,top,U27,,,SIP8_HMC1001_HNW,HMC1001-RC,tht
111.875001,-92.850001,0.0,top,U28,,,RGW0020A,ADS1257IRGWT,smt
112.116666,-75.062483,-90.0,bottom,U29,,,NS14,LM324NSR,smt
102.62255,-112.0,0.0,bottom,U3,,,SOIC8_D_TEX-L,TMCS1101A3BQDRQ1,smt
104.8937,-114.974999,0.0,top,U30,,,RTY16,DRV8833RTYR,smt
104.8937,-123.775001,0.0,top,U31,,,RTY16,DRV8833RTYR,smt
102.62255,-126.595,0.0,bottom,U4,,,SOIC8_D_TEX-L,TMCS1101A3BQDRQ1,smt
137.02,-127.36,0.0,top,U5,,Package,SOT95P280X145-6N,MT3608,smt
153.85,-127.13,0.0,top,U6,,Package,SOT95P280X145-6N,MT3608,smt
133.0,-80.2446,0.0,top,XTAL1,,,ASFL1_ABR,ASFL1-100.000MHZ-L-T,smt
149.5,-80.0,-90.0,bottom,Y1,,None,XTAL_ABLS-8.000MHZ-B2-T,ABLS-8.000MHZ-B2-T,smt
